投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,典型问题2,典型问题3,投诉时间,投诉状态,文本
515095,上汽大众,凌渡,2019款 280TSI DSG 舒适版 国VI,"观致5影音系统没有声音要求厂家处理
一汽大众高尔夫嘉旅内饰顶棚处漏水
北汽绅宝X35转向柱生锈要求尽快解决
广汽丰田雷凌丰云行绑定手机号无法更改
华晨宝马3系发动机水泵漏水要求给予保修
东风标致408发动机抖动故障灯报警
上汽大众途观L四轮定位偏差导致轮胎吃胎
东风标致408发动机烧机油严重要求解决
一汽大众迈腾发动机飞轮出现生锈的现象
一汽大众速腾变速箱异响希望厂家处理问题
上汽大众朗逸车内顶棚绒布脱落要求解决
华晨宝马X1发动机怠速转速高换挡转速高
一汽大众迈腾车内异味影响身体健康
比亚迪速锐变速箱挂挡打齿 异响严重
一汽大众速腾车门拉手胶垫处磨损掉漆
广汽本田飞度发动机冷启动异响要求解决
华晨宝马X1发动机怠速高 厂家不回复信息
起亚KX3傲跑发动机烧机油行驶中熄火
领克01更改系统后功率不足变速箱顿挫
进口大众途锐固特异轮胎脱皮 行车灯不亮
起亚智跑4S店销售强制收取保单费用不退还
知豆D2换挡按键损坏脱落 4S店不予质保
吉利帝豪GL离合器不回弹 刹车故障灯亮
北汽幻速S6后备箱锁块损坏4S店没有配件
北京奔驰C级主驾座椅皮革开裂4S店不保修
广汽丰田汉兰达发动机抖动 喷油嘴漏油
领克03固特异轮胎开裂希望厂家处理
上汽大众凌渡左侧大灯内部下雨天出现雾水",车身附件及电器,车灯进水,,2020-08-28,信息审核,车身附件及电器
514993,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,"一汽丰田RAV4荣放发动机机油增多
北京奔驰GLA轮速传感器故障导致故障灯亮
长安逸动XT定速巡航故障气囊报警要求解决
上汽大众凌渡变速箱故障无法挂入倒挡
吉利帝豪GS自适应巡航无法使用4S店不保修
比亚迪F6发动机舱盖处有多处生锈的现象
一汽大众速腾发动机异响飞轮生锈要求解决
一汽大众探岳低速行驶时变速箱异响顿挫
东风悦达起亚奕跑热车后发动机无法启动
广汽本田雅阁行驶过程中发动机熄火
东风标致3008电池充电或蓄电池系统故障
奔腾B50车身漆面大面积生锈4S店不予保修
广汽本田凌派电子驻车按键塌陷要求处理
上汽大众凌渡仪表盘指针不自检无法修复
斯柯达昊锐天窗漏水要求厂家给予解决
奇瑞艾瑞泽5左前轮异响换挡打齿望处理
东风雪铁龙C4L节温器故障要求厂家召回
一汽大众宝来变速箱异响厂家拖延不处理
华晨宝马X1发动机怠速高变速箱换挡顿挫
北京现代领动轮毂有不同程度氧化腐蚀
中华V7发动机有漏油的现象要求处理
东风日产奇骏变速箱无法加速希望厂家处理
一汽大众高尔夫油门反应延迟导致车辆事故
吉利帝豪GL车内隔音棉处无覆盖物
华晨宝马X1发动机怠速高低速换挡顿挫
SWM斯威X7变速箱挂挡时顿挫 发动机抖动
林肯大陆后排座椅靠背变硬且向内收缩
一汽丰田卡罗拉智行互联被其他人注册过",,销售欺诈,,2020-08-28,信息审核,车身附件及电器
514882,奔驰（进口）,奔驰S级,2019款 S 450 L 臻藏版,"上汽大众桑塔纳发动机启动时异响故障报警
上汽大众朗逸变速箱异响严重希望处理
一汽大众速腾发动机漏油 球笼套漏油
五菱荣光车身生锈严重要求尽快解决
一汽大众高尔夫变速箱机电元件故障
奇瑞艾瑞泽7车门处有严重的生锈的现象
进口奔驰C级发动机故障灯亮 车身严重抖动
东风标致508车身B柱方向机天窗异响
长安凯程睿行S50车门生锈严重4S店不保修
斯柯达昊锐车内异味希望厂家解决处理
广汽三菱劲客ASX购车四年车内异味严重
一汽大众迈腾变速箱机电单元故障无法挂挡
野马T70踩油门时发动机空转而且有异响
广汽本田飞度冷车启动发动机VTC阀异响
捷途X70变速箱顿挫 副驾驶车门内侧生锈
亚太沃尔沃S90高速行驶方向盘抖动车身抖动
一汽大众奥迪A6L右后视镜无法自动打开
东风日产轩逸倒车影像蓝屏要求解决
众泰芝麻动力电池故障车辆无法行驶
北京现代领动发动机烧机油希望尽快处理
宝沃BX5行驶中下坡变速箱脱挡要求解决
一汽大众迈腾变速箱故障报警无法换挡提速
东风雪铁龙C4L大修发动机后无法加速
东风日产轩逸变速箱无法换挡无法加速
众泰Z500质保期内出现的质量问题不予索赔
一汽大众宝来倒车影像系统黑屏望厂家解决
长安马自达3昂克赛拉前挡风玻璃炸裂
进口奔驰S级发动机故障灯亮4S店未解决",发动机,故障灯亮,仪表故障,2020-08-27,信息审核,变速器
514765,华晨宝马,宝马1系,2018款 改款 118i 运动型,"东风日产轩逸主驾驶座椅上车时晃动
北汽威旺S50车身抖动 经销商出售问题车
宝骏610底盘边梁生锈希望厂家处理问题
北汽威旺M50F合格证日期与铭牌相差太大
一汽大众速腾方向盘掉皮存在质量问题
上汽大众途昂X后视镜角度无法固定
吉利帝豪GL车门生锈 排气管生锈质量差
一汽丰田卡罗拉车灯亮度不达标无法登记
一汽大众奥迪Q2L发动机故障灯常亮
东风日产逍客4S店销售低配当高配卖不解决
上汽大众朗逸车漆鼓包 车窗密封条开裂
捷达VS7空调压缩机异响严重厂家不予解决
斯柯达速派天窗胶条异响希望厂家处理
长安欧尚X7后尾灯不亮要求厂家处理
江铃福特领界发动机无法启动故障灯亮
一汽吉林森雅R7导航黑屏要求厂家处理
一汽大众奥迪A6L车身抖动发动机异响
一汽奔腾B50车身多处出现严重生锈的现象
华晨宝马X3发动机抖动 车内按键失灵
哈弗F5变速箱换挡顿挫 仪表上油耗不准确
华晨中华V6经销商无配件导致无法更换
上汽大通MAXUS G50发动机抖动异响
吉利帝豪GL变速箱挡杆振动承诺解决未兑现
一汽丰田RAV4荣放前后护板有严重色差
一汽丰田RAV4荣放漆面鼓包开裂希望厂家处理
一汽大众速腾加速时异响4S店不处理
陆风X5车身整体生锈存在质量问题
华晨宝马1系座椅调节故障希望质保维修",车身附件及电器,座椅故障,,2020-08-27,信息审核,变速器
514683,海马汽车,海马S5青春版,2018款 1.6L CVT 豪华型,"东南三菱翼神无法换挡4S店拖延不处理
东风风行菱智方向机漏油 售后无零件
众泰Z700发动机车轮异响厂家无人处理
一汽大众速腾行驶过程中变速箱有异响
华晨中华V7天窗漏水 顶棚脱落 售后无配件
东风本田CR-V经销商销售旧款车型不解决
东风日产逍客高速行驶过程中动力消失
一汽大众迈腾变速箱无法提速动力消失
吉利icon售后维修导致线束损坏希望厂家处理
广汽三菱欧蓝德发动机抖动熄火 座椅生锈
奇瑞瑞虎8发动机失缸 大灯转向盲区大
哈弗H6 Coupe前大灯进水厂家不予解决
一汽丰田卡罗拉新车发动机异响不解决问题
一汽大众奥迪A3轮速传感器多次损坏
一汽大众宝来锦湖轮胎开裂希望厂家处理
华晨宝马3系发动机热管理模块故障漏冷却液
进口宝马X5新车车漆有划痕要求退还定金
一汽大众T-ROC探歌两侧尾灯有裂纹
吉利帝豪GL底盘生锈经销商不予质保
领克01变速箱顿挫 刹车异响 倒车影像不显示
东风日产奇骏变速箱阀体故障存在安全隐患
东风本田CR-V上坡时出现溜车现象
长安马自达昂克赛拉多媒体显示屏自然开裂
众泰T300起步时顿挫 倒车雷达时好时坏
领克03倒车影像失灵 中控及车门异响
上汽名爵锐腾变速箱漏油一直无法解决
上汽大众朗逸蓄电池电压低发动机无法启动
海马S5青春版天窗开关故障有异响现象",车身附件及电器,天窗异响,,2020-08-27,处理反馈,转向系统
514597,东风风行,景逸X5,2017款 2.0L 手动 豪华型,"广众汽车豪沃发动机故障灯亮电瓶报警
众泰T600空调不制冷变速箱挂D挡无法行驶
宝沃BX7发动机漏防冻液要求厂家处理
吉利博瑞4S店销售车辆无法按时交付
北京BJ40导航不精准而且导航无法升级
上汽大众桑塔纳天然气气管破裂4S店不解决
东风标致408主驾驶侧车窗升降器损坏
华晨宝马5系安全系统故障 娱乐系统故障
东风标致408驾驶舱进水 车内异味明显
东风雪铁龙C4L方向盘松动 高速抖动
吉利帝豪GL保险盒烧毁希望厂家处理问题
一汽大众宝来正常使用车身漆面有起泡现象
江铃福特领界蓄电池亏电导致发动机无法启动
一汽大众迈腾变速箱异响顿挫4S店不予解决
东风标致408蓄电池亏电导致发动机无法启动
一汽丰田RAV4荣放缴纳保险费后未上保险 售
海马8S行驶时车身抖动严重希望尽快解决
斯柯达速派行驶中变速箱脱挡动力消失
一汽丰田卡罗拉四个车门内侧有开裂的现象
一汽大众奥迪A4L变速器故障维修后异响
捷途X70行驶过程中两前减震器有异响
东风日产轩逸发动机故障 变速箱电脑故障
江淮瑞风R3变速箱怠速异响希望尽快解决
雷克萨斯ES中控台异响多次维修未解决问题
一汽大众高尔夫经销商不退订金希望尽快处理
一汽丰田亚洲龙发动机抖动熄火望厂家解决
上汽大众凌渡4S店维修后仪表盘出现划痕
东风风行景逸X5离合器分泵漏油严重",离合器,漏油,,2020-08-27,处理反馈,变速器
514496,东风乘用车,风神AX7,2019款 经典 230T 手动 精英型 国V,"奇瑞瑞虎8氛围灯开裂希望尽快处理
一汽大众奥迪Q3轮速传感器故障希望厂家处理
起亚智跑4S店销售重复收取保险费用不退还
北京奔驰GLB车内异响多次维修未解决
东风标致301搭电后ABS泵故障希望处理
上汽大众朗逸经销商出售展车 强制购买保险
奇瑞路虎发现神行凸轮轴损伤发动机故障灯亮
长城C50发动机烧机油异响 涡轮增压器渗油
东风日产逍客行驶顿挫变速箱报故障码
DS 5LS发动机高温 节温器不能开启
哈弗F7变速箱报警无法挂入倒挡要求解决
东风风神A60经销商过度维修更换未受损配件
奇瑞eQ动力电池漏液4S店不予保修
东风标致408行驶中空调压缩机异响
华晨宝马5系新能源发动机故障灯多次报警
中国重汽豪沃发动机无法启动缸盖损坏
东风日产逍客变速箱顿挫挂挡困难希望质保
亚太沃尔沃S60油箱加油频繁跳枪影响使用
长安林肯冒险家车机黑屏转向灯失灵
吉利帝豪GS倒车影像摄像头进水不予质保
东风日产天籁发动机与变速箱连接处漏油
东风标致408发动机烧机油要求尽快解决
星途TX发动机启停故障电瓶亏电4S店不解决
一汽大众探歌高压油泵异响希望厂家处理
东风标致408颠簸路面行驶后桥异响
东风标致3008蓄电池充电或供电系统故障
北汽福田奥铃发动机高温缺水维修后未解决
东风风神AX7刹车失灵希望厂家解决处理",制动系统,刹车失灵,服务态度,2020-08-27,处理反馈,车身附件及电器
514420,一汽-大众,迈腾,2017款 330TSI DSG 领先型,"上汽大众朗逸车内异味严重要求厂家解决
广汽丰田雷凌USB提示拔出蓝牙音乐卡顿
一汽大众迈腾车内异味更换隔音棉后未解决
吉利帝豪GL变速箱顿挫严重 车内异响
奥迪Q8行驶中天窗异响要求尽快处理
广汽丰田雷凌转向异响存在严重质量问题
北汽幻速S3L低速行驶底盘异响希望厂家解决
众泰大迈X7终身保养承诺不兑现
猎豹Mattu变速箱无动力输出ESC系统报警
华晨宝马5系新能源高压电池频繁出现故障
上汽大众朗逸车内异味持续存在无法去除
华晨宝马X1踩油门电流声很大要求解决
一汽大众速腾变速箱行驶过程中异响
长城炮低速四驱分动箱严重异响 4S店不解决
上汽名爵锐腾变速箱换挡不顺畅顿挫严重
上汽大众朗逸车内异味严重要求厂家解决
众泰T600 Coupe排气管漏气厂家无配件
一汽丰田普拉多座椅骨架生锈4S店不予解决
上汽大众朗逸一键启动无法使用4S店不解决
上汽荣威350正时链条拉长要求解决
广汽菲亚特菲翔变速箱故障导致不能挂倒挡
一汽大众宝来4S店销售问题车要求处理
星途LX后备箱饰板与密封胶条处有瑕疵不贴合
一汽大众高尔夫飞轮生锈导致运转时异响
哈弗H2高速行驶时车辆出现自燃的现象
上汽通用五菱宏光车门出现生锈的现象
上汽大众朗逸自购车起车内一直存在异味
一汽大众迈腾变速箱机电控制单元故障",变速器,故障灯亮,滑阀箱故障,2020-08-26,处理反馈,车身附件及电器
514333,广汽三菱,欧蓝德,2017款 2.0L 两驱 荣耀版 5座,"江铃福特领界电瓶亏电导致发动机无法启动
东风日产轩逸加速行驶时变速箱顿挫有异响
中华V7车辆解锁时四门玻璃自动下降
一汽大众速腾行驶过程中发动机熄火
福田欧马可油箱变形 液位传感器故障
广汽本田飞度启动时异响希望尽快处理
捷途X70车身生锈天窗漏水离合踏板脚垫开裂
广汽本田冠道后备箱左侧严重漏水
一汽大众宝来经销商出售问题车尾灯有色差
上汽名爵锐腾变速箱顿挫换挡异响严重
东风日产轩逸变速箱顿挫异响希望厂家处理
广汽丰田致炫行驶中方向盘无法自动回正
广汽丰田凯美瑞中控台开裂发动机烧机油
一汽大众高尔夫仪表提示变速箱故障灯亮
北京BJ20车门空调压缩机异响希望厂家处理
江铃福特领界自动启停功能无法使用轮毂腐蚀
上汽大众桑塔纳车辆自燃导致严重损失
广汽三菱欧蓝德抖动顿挫噪音大 厂家不解决	
北京现代领动方向盘凸起 锦湖轮胎鼓包
君马S70大灯进水 电瓶亏电 方向机故障
奇瑞风云2后轮吃胎偏磨影响安全行驶
奇瑞瑞虎8车身漏水导致泡水希望处理
一汽丰田普拉多发动机无法启动 承诺不兑现
广汽丰田凯美瑞方向盘脱皮存在质量问题
东风本田CR-V主驾驶门内饰板异响
沃尔沃XC90低频噪音高达97分贝
一汽大众探岳行驶时左前悬架出现异响
广汽三菱欧蓝德方向盘不正行驶跑偏",转向系统,方向盘不正,跑偏,2020-08-26,厂家受理,变速器
514221,上汽大众,途岳,2020款 280TSI 两驱 豪华版 国VI,"哈弗H2开启空调后发动机抖动异响严重
东风日产逍客变速箱颤抖 换挡缓慢 加油不走
东风标致308真皮座椅破损空调拨片损坏
奇瑞瑞虎8变速箱顿挫 刹车前冲
北京现代索纳塔九质保期内真皮座椅破裂
一汽解放虎VH发动机水温高维修未解决
奇瑞eQ1车门漆面起皮要求厂家解决
众泰SR9变速箱挂挡后车辆无法行驶
众泰E200电控故障厂家无配件无法维修
上汽大众途观转向机异响4S店不予保修
东风日产阳光变速箱报P0846故障码
广汽丰田凯美瑞发动机怠速不稳仪表指针抖动
江淮瑞风S3正常使用防冻液减少查不出原因
华晨宝马1系车辆出险正面碰撞气囊未弹出
亚太沃尔沃XC40购车时厂家赠送的礼包未兑现
一汽大众迈腾发动机多次熄火4S店无法解决
吉利帝豪GL机盖拉线断裂要求给予解决
大众探岳低速行驶变速箱异响4S店无法解决
大众桑塔纳远光灯亮度低启停系统设计不合理
东风日产奇骏天窗排水管堵塞导致漏水
北汽幻速S6发动机噪音大后视镜漆面变色
北京现代领动ABS故障灯报警时速表跳动
进口大众夏朗ABS泵损坏导致故障灯亮
北汽昌河M50S发动机无法提速4S店无配件
东风风神AX4刹车盘生锈严重要求解决
纳智捷优6 SUV发动机无法提速要求处理
一汽丰田亚洲龙变速箱异响希望厂家处理问题
上汽大众途岳后风挡出现裂痕4S店不予解决",车身附件及电器,玻璃开裂,服务态度,2020-08-26,处理反馈,变速器
